"","sample_id","Light_Value","micromol.L.s","grouping.id","Species","Run","Chamber.Vol.L","Temp.Cat"
"258","POC-A2","79",0.000801090100111147,"POC-A2-79","Pocillopora","Run2",0.184,27.8
"259","POC-A2","846",0.0158147822765469,"POC-A2-846","Pocillopora","Run2",0.184,27.8
"260","POC-A2","9",-0.0101402608695654,"POC-A2-9","Pocillopora","Run2",0.184,27.8
"261","POC-A3","0",-0.0120958529379585,"POC-A3-0","Pocillopora","Run2",0.199,27.8
"262","POC-A3","143",-0.0016196885428254,"POC-A3-143","Pocillopora","Run2",0.199,27.8
"263","POC-A3","206",0.00557300333704109,"POC-A3-206","Pocillopora","Run2",0.199,27.8
"264","POC-A3","29",-0.0101741486068118,"POC-A3-29","Pocillopora","Run2",0.199,27.8
"265","POC-A3","317",0.00347042244835032,"POC-A3-317","Pocillopora","Run2",0.199,27.8
"266","POC-A3","514",0.0093706662902312,"POC-A3-514","Pocillopora","Run2",0.199,27.8
"267","POC-A3","700",0.0041626649560118,"POC-A3-700","Pocillopora","Run2",0.199,27.8
"268","POC-A3","79",-0.000937409700722424,"POC-A3-79","Pocillopora","Run2",0.199,27.8
"269","POC-A3","846",0.00423477832512312,"POC-A3-846","Pocillopora","Run2",0.199,27.8
"270","POC-A3","9",-0.00638732142857092,"POC-A3-9","Pocillopora","Run2",0.199,27.8
"271","POC-A4","0",-0.0127761038961042,"POC-A4-0","Pocillopora","Run3",0.193,27.8
"272","POC-A4","143",0.000897794117647025,"POC-A4-143","Pocillopora","Run3",0.193,27.8
"273","POC-A4","206",0.00579184981684999,"POC-A4-206","Pocillopora","Run3",0.193,27.8
"274","POC-A4","29",-0.00629385964912249,"POC-A4-29","Pocillopora","Run3",0.193,27.8
"275","POC-A4","317",0.0110030384615391,"POC-A4-317","Pocillopora","Run3",0.193,27.8
"276","POC-A4","514",0.0148342093200916,"POC-A4-514","Pocillopora","Run3",0.193,27.8
"277","POC-A4","700",0.0128319098938499,"POC-A4-700","Pocillopora","Run3",0.193,27.8
"278","POC-A4","79",-0.00528567847593581,"POC-A4-79","Pocillopora","Run3",0.193,27.8
"279","POC-A4","846",0.0190352627257779,"POC-A4-846","Pocillopora","Run3",0.193,27.8
"280","POC-A4","9",-0.0136764717741938,"POC-A4-9","Pocillopora","Run3",0.193,27.8
"281","POC-A5","0",-0.0139229853479855,"POC-A5-0","Porites","Run3",0.195,27.8
"282","POC-A5","143",0.0013978571428573,"POC-A5-143","Porites","Run3",0.195,27.8
"283","POC-A5","206",0.00652368742368755,"POC-A5-206","Porites","Run3",0.195,27.8
"284","POC-A5","29",-0.0046130434782604,"POC-A5-29","Porites","Run3",0.195,27.8
"285","POC-A5","317",0.0131450464396287,"POC-A5-317","Porites","Run3",0.195,27.8
"286","POC-A5","514",0.0194854048582995,"POC-A5-514","Porites","Run3",0.195,27.8
"287","POC-A5","700",0.0173679174484055,"POC-A5-700","Porites","Run3",0.195,27.8
"288","POC-A5","79",-0.00352215217391314,"POC-A5-79","Porites","Run3",0.195,27.8
"289","POC-A5","846",0.021463076923077,"POC-A5-846","Porites","Run3",0.195,27.8
"290","POC-A5","9",-0.0136299541634836,"POC-A5-9","Porites","Run3",0.195,27.8
"291","POC-R1","0",-0.00850259974259974,"POC-R1-0","Pocillopora","Run2",0.192,27.8
